x_original,y_original,z_original,w_original
8.087649399999999877e-01,8.973751599999999495e-01,1.121355684999999935e+00,8.037383179999999516e-01
5.774193549999999675e-01,1.017450986999999918e+00,9.357315910000000292e-01,8.732308859999999839e-01
8.552637260000000019e-01,9.710793659999999994e-01,9.655380009999999791e-01,9.103881660000000542e-01
5.491792189999999962e-01,8.830203920000000428e-01,8.437726909999999636e-01,7.796725020000000450e-01
4.753218880000000257e-01,7.901747000000000076e-01,1.101610905000000029e+00,8.272659730000000433e-01
9.037158180000000041e-01,1.073561014000000036e+00,1.097274206999999890e+00,1.097295101000000050e+00
4.615384619999999827e-01,9.465999550000000484e-01,1.073288572000000052e+00,4.393305439999999895e-01
7.491081619999999663e-01,1.078158077000000103e+00,9.113950020000000096e-01,9.156495119999999988e-01
8.263738520000000198e-01,1.102990805999999990e+00,1.097101400999999976e+00,9.770115820000000451e-01
5.930260330000000080e-01,1.112997548000000059e+00,1.082734673999999897e+00,9.342831299999999617e-01
5.673598549999999685e-01,1.112490688000000061e+00,1.091540798999999895e+00,7.562460229999999894e-01
4.367526749999999791e-01,1.000925019000000082e+00,1.008545432000000019e+00,6.845557540000000163e-01
8.820995809999999659e-01,1.015556721000000051e+00,1.157611480999999998e+00,8.323848480000000105e-01
7.859954359999999918e-01,9.855759910000000401e-01,9.702962360000000341e-01,8.976655140000000532e-01
5.473290210000000267e-01,9.193317880000000386e-01,9.940687329999999822e-01,9.744465589999999899e-01
8.430711370000000260e-01,8.511812610000000223e-01,9.181895890000000282e-01,9.528953620000000235e-01
9.697698649999999532e-01,1.032356394000000011e+00,1.024945698000000016e+00,1.116980969000000101e+00
5.768376320000000446e-01,8.597055230000000270e-01,1.302317001000000030e+00,9.833955739999999945e-01
6.654380789999999601e-01,9.527115950000000222e-01,9.792112379999999838e-01,6.709445389999999509e-01
1.133720899999999920e+00,1.283968414999999919e+00,1.182748090999999890e+00,1.547353154999999925e+00
9.855846240000000202e-01,1.058319554999999967e+00,1.068959014000000041e+00,1.031812763000000022e+00
7.102055529999999894e-01,8.137809249999999883e-01,9.625123399999999663e-01,9.189229460000000183e-01
1.345817728000000102e+00,8.042002010000000034e-01,1.091634341000000008e+00,8.561046509999999943e-01
7.396554360000000550e-01,1.138738564999999925e+00,9.491544229999999693e-01,9.184886399999999673e-01
8.446701049999999489e-01,9.412432090000000251e-01,9.883511649999999760e-01,9.088086319999999496e-01
9.615123089999999539e-01,8.716693819999999926e-01,1.104377801999999908e+00,9.882785910000000396e-01
6.298675139999999617e-01,9.724512549999999589e-01,8.525129329999999728e-01,9.609730389999999733e-01
7.006709730000000302e-01,7.015640300000000051e-01,7.312459660000000250e-01,1.029594224000000002e+00
7.051498520000000214e-01,8.976868669999999995e-01,1.013900312999999942e+00,1.007446553000000078e+00
7.579889779999999799e-01,1.140619381000000043e+00,1.051484228000000076e+00,1.008082919000000022e+00
7.101858770000000209e-01,9.637909999999999533e-01,9.338618789999999503e-01,9.647500509999999974e-01
5.906652359999999824e-01,9.399545169999999894e-01,8.766000590000000425e-01,8.889032930000000388e-01
7.261224800000000146e-01,7.858146809999999594e-01,8.730425259999999854e-01,9.272268390000000249e-01
1.199999999999999956e-01,1.054922279999999990e+00,1.612886598000000005e+00,1.344444444000000072e+00
8.119570769999999715e-01,9.124162999999999579e-01,8.868852459999999605e-01,7.640000000000000124e-01
1.064470215999999914e+00,1.095484826000000078e+00,1.213350785000000043e+00,8.045939290000000410e-01
1.031833728000000061e+00,9.458770370000000316e-01,1.019598801000000110e+00,1.078906069999999939e+00
5.357741390000000381e-01,1.283582089999999898e+00,1.582938388999999946e+00,8.544483029999999646e-01
8.052599240000000158e-01,9.902802000000000548e-01,9.142216239999999550e-01,9.744679120000000472e-01
3.850574709999999845e-01,1.064243027999999924e+00,9.218579590000000046e-01,7.913455839999999908e-01
1.492848259000000066e+00,7.592513220000000063e-01,9.207664979999999888e-01,1.420972899999999983e+00
7.025719120000000206e-01,1.000315231000000082e+00,9.599643719999999547e-01,9.196824270000000245e-01
8.636051150000000343e-01,9.683723250000000338e-01,9.854028350000000325e-01,9.916754349999999940e-01
1.069571904000000018e+00,1.040354814999999933e+00,7.391395050000000300e-01,9.088633929999999639e-01
5.604845309999999525e-01,1.048635227999999975e+00,1.017651451000000096e+00,7.229062019999999977e-01
8.924093239999999483e-01,1.052461220000000086e+00,9.684568329999999614e-01,1.163198447999999940e+00
4.305816900000000169e-01,1.030615550000000047e+00,1.048948312000000049e+00,8.645777890000000410e-01
7.067810549999999914e-01,9.102129839999999472e-01,9.136592639999999710e-01,6.812971989999999645e-01
7.951549420000000312e-01,1.087608024999999978e+00,9.775674549999999741e-01,8.961297870000000110e-01
8.878627970000000369e-01,9.911729759999999834e-01,1.035355494999999904e+00,1.010771113999999971e+00
8.759439049999999671e-01,9.913480740000000235e-01,1.031176225999999918e+00,1.877470355999999896e+00
1.158682634999999905e+00,1.156818764000000055e+00,9.891796529999999921e-01,9.060193069999999960e-01
7.861899519999999697e-01,8.695657959999999465e-01,1.024235363000000065e+00,1.126855815000000094e+00
7.650080670000000138e-01,1.011320498999999984e+00,1.067667756000000079e+00,4.294422079999999919e-01
1.309258081000000074e+00,1.101533770000000079e+00,1.118249005000000018e+00,9.904259170000000445e-01
4.799043060000000027e-01,9.867170549999999540e-01,1.065543847999999905e+00,8.754195350000000264e-01
7.661181710000000145e-01,8.554313900000000137e-01,9.774884400000000140e-01,9.444373099999999743e-01
6.706143380000000320e-01,9.490009080000000319e-01,9.924760719999999870e-01,1.023997550999999895e+00
8.881054170000000081e-01,9.784403520000000132e-01,9.997025059999999907e-01,1.011579301000000042e+00
7.635293850000000049e-01,9.347656789999999605e-01,9.773790100000000480e-01,1.033798272000000074e+00
7.320857010000000331e-01,1.101314340000000058e+00,1.068237322000000100e+00,9.835215760000000085e-01
1.040612963999999918e+00,1.159876217000000098e+00,1.097234993999999908e+00,1.049498384000000062e+00
8.059598679999999682e-01,9.308981739999999672e-01,1.138720619999999961e+00,1.036417192999999903e+00
7.862632449999999995e-01,1.014397374999999935e+00,9.688478659999999465e-01,9.310566239999999993e-01
5.161290300000000164e-02,8.366364670000000503e-01,9.518039400000000150e-01,6.443298969999999848e-01
9.397291119999999776e-01,9.221662950000000247e-01,9.000446650000000215e-01,9.572271650000000465e-01
7.597140260000000422e-01,1.035309040000000014e+00,9.268275449999999749e-01,9.292095790000000077e-01
6.549784690000000076e-01,7.964306359999999696e-01,9.936869379999999641e-01,7.220855099999999860e-01
8.813694730000000144e-01,8.907383970000000151e-01,1.044210866000000015e+00,9.348054620000000314e-01
1.932717680000000104e-01,1.084259156999999973e+00,1.015801353999999934e+00,8.598074610000000506e-01
5.303867399999999677e-01,8.382300649999999687e-01,9.659767989999999971e-01,7.331762240000000430e-01
8.357399469999999830e-01,8.951316660000000480e-01,1.062565329999999975e+00,9.304343999999999948e-01
6.937062939999999456e-01,1.019305018999999923e+00,9.622893670000000066e-01,5.357142860000000395e-01
1.388888889999999876e-01,9.102588000000000346e-01,1.014747172999999947e+00,1.168141593000000089e+00
5.059280029999999595e-01,9.351370679999999602e-01,9.394509899999999858e-01,9.306106960000000150e-01
4.672789900000000052e-01,1.007039398999999946e+00,9.557851240000000415e-01,7.843822839999999852e-01
7.029115089999999899e-01,8.355212389999999711e-01,9.838146389999999908e-01,8.613073789999999841e-01
8.059179130000000413e-01,9.216878240000000444e-01,9.785773140000000314e-01,1.307643310000000114e-01
9.472049689999999522e-01,1.102049542000000049e+00,9.412556229999999857e-01,1.001542860000000035e+00
9.392096530000000332e-01,9.951020990000000177e-01,9.241305520000000495e-01,9.443682639999999573e-01
5.514245300000000238e-01,7.874862289999999820e-01,9.251990669999999861e-01,9.772209570000000012e-01
6.346117510000000017e-01,8.023239450000000383e-01,8.312352870000000449e-01,6.960774060000000096e-01
9.377542220000000261e-01,1.610526316000000069e+00,2.210526316000000158e+00,8.827901339999999486e-01
6.812164779999999586e-01,9.377349419999999602e-01,1.042944311999999929e+00,8.307768340000000196e-01
8.049142599999999925e-01,1.028310478999999944e+00,1.005936460000000032e+00,9.812730360000000429e-01
1.523138832999999970e+00,1.425058547999999981e+00,4.861445779999999939e-01,1.231362467999999932e+00
8.065348930000000305e-01,9.542136519999999678e-01,1.063169991999999953e+00,1.005156769999999922e+00
3.813407420000000103e-01,7.449828120000000498e-01,1.020467951999999956e+00,7.176279669999999777e-01
8.969375360000000352e-01,1.071183275999999962e+00,1.055452636999999916e+00,1.011752256999999933e+00
3.097663270000000080e-01,1.069825534000000022e+00,1.139867487000000068e+00,5.190746750000000409e-01
9.129907760000000039e-01,1.007169803999999891e+00,9.682642169999999826e-01,8.938530409999999593e-01
1.271341462999999949e+00,9.597166980000000347e-01,8.997123399999999993e-01,8.192131310000000388e-01
9.559840790000000421e-01,1.201145311000000104e+00,7.401574800000000343e-01,1.022974856000000043e+00
5.820139330000000388e-01,9.482936520000000424e-01,1.089727195000000037e+00,6.551422319999999910e-01
8.357882300000000209e-01,9.740339709999999984e-01,9.536092539999999618e-01,9.317692969999999963e-01
8.013856809999999609e-01,8.565127900000000238e-01,4.635010629999999909e-01,1.095942799999999995e+00
9.383308540000000475e-01,1.089127350000000050e+00,1.015711551999999962e+00,9.236223009999999789e-01
8.800039090000000286e-01,9.076733059999999575e-01,8.678673129999999736e-01,8.934564900000000476e-01
7.294257880000000194e-01,7.588202090000000233e-01,9.081707620000000203e-01,7.712678039999999458e-01
5.851063829999999522e-01,8.841442010000000185e-01,1.004479351999999936e+00,6.675903349999999792e-01
1.031604568000000111e+00,1.371012871000000022e+00,1.486709440999999909e+00,1.027539908999999918e+00
1.088199512999999952e+00,7.420644250000000275e-01,7.671157039999999538e-01,8.393367919999999982e-01
5.529272619999999749e-01,8.611101620000000123e-01,1.191012057000000013e+00,1.029371172000000056e+00
6.153846149999999682e-01,1.028997074000000067e+00,1.404222048000000056e+00,1.294685990000000064e+00
5.753424660000000523e-01,8.548074100000000453e-01,9.992439340000000003e-01,1.091893911000000106e+00
8.437047760000000451e-01,9.503424660000000523e-01,9.159160870000000454e-01,7.279976369999999752e-01
9.904426560000000324e-01,1.040279238999999967e+00,9.447395400000000443e-01,8.118811879999999759e-01
9.646405270000000254e-01,9.578148100000000165e-01,1.053609392000000033e+00,1.038548768000000067e+00
9.369270499999999835e-01,9.800985220000000275e-01,1.295809366999999934e+00,9.978848190000000340e-01
9.284209220000000373e-01,1.111049106999999925e+00,9.898259099999999755e-01,9.850802770000000042e-01
8.359181359999999783e-01,1.043521236999999990e+00,1.096444930000000095e+00,9.921169800000000372e-01
9.205352679999999621e-01,9.965209800000000007e-01,9.855218199999999928e-01,9.519150650000000047e-01
7.925090129999999844e-01,9.201740430000000526e-01,9.266009630000000552e-01,9.413119030000000054e-01
4.763728629999999797e-01,9.338091370000000113e-01,9.745883459999999943e-01,8.885545609999999650e-01
2.056015280000000056e-01,1.099293861999999899e+00,8.535567349999999553e-01,8.943041689999999821e-01
1.000000000000000000e+00,9.558752999999999833e-01,1.353403141000000032e+00,1.004338394999999995e+00
